Species,Replace
Jacobaea_eruciflora,Jacobaea_erucifolia
Pinus_spp,Pinus_sp.
Rosa_multiflora_,Rosa_multiflora
Sonchus_asper_,Sonchus_asper
Anagallis_arvensis,Lysimachia_arvensis
Helminthotheca_echiodes,Helminthotheca_echioides
Lapsana_communis_,Lapsana_communis
Rosa_multiflore,Rosa_multiflora
Carex_actiformis,Carex_acutiformis
Epilobium_Parviflorum,Epilobium_parviflorum
Geranium_dissectum_,Geranium_dissectum
Quercus_Robur,Quercus_robur
Rubus_pruinosus,Rubus_sp.
Taraxacum_officinale,Taraxacum
Fagopyrum_esculentum_,Fagopyrum_esculentum
Taraxacum_campylodes,Taraxacum
Dryopteris_carthusiana_,Dryopteris_carthusiana
