Species,Replace
Molina_carulea,Molinia_caerulea
Phleium_bertoloni,Phleum_bertolonii
Alopecurcus_pratensis,Alopecurus_pratensis
Anthroxanthum_odoratum,Anthoxanthum_odoratum
Cersium_palustre,Cirsium_palustre
Mycrica_gale,Myrica_gale
Geranium_robertianum ,Geranium_robertianum
Geranium_robertianum ,Geranium_robertianum
Phleum_bertoloni,Phleum_bertolonii
Dichondra_micantha,Dichondra_micrantha
Geranium_palustre,NA
Holcus_ianatus,Holcus_lanatus
Oxalis_montana,NA
Juncus_squarosis,Juncus_squarrosus
Molinia_Caerulea,Molinia_caerulea
Holcus_Mollis,Holcus_mollis
Juncus_articulartus,Juncus_articulatus
Carex_Lepidocarpa,Carex_lepidocarpa
Plantago_lancculata,Plantago_lanceolata
Rubus_pruinosus,Rubus_sp.
Rumex_thyrsoides_Desf.,NA
Rumex_acestosa,Rumex_acetosa
Poa_pretensis,Poa_pratensis
Bowlesia_incana,NA
Taraxacum_officinale,Taraxacum
Ranunculus_lanuginosus,Ranunculus_sp.
